,match_id,season,date,seed_type,bastion_type,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,time,elo_a_before,elo_b_before,has_player_forfeited,winner_uuid
38,2806909,9,1755778168,VILLAGE,HOUSING,635f35ee69ed4f0c94ff26ece4818956,734a1c6118754829acc234135470152c,edcr,yeopgihoney,552.737,1594,1482,False,635f35ee69ed4f0c94ff26ece4818956
39,2807030,9,1755781005,VILLAGE,TREASURE,ac601ce7376f49cea7ce14cd577dac85,173ddbbf36f545f7a422f3b3257565aa,BlazeMind,MinetofuCraft,721.971,1675,1453,False,ac601ce7376f49cea7ce14cd577dac85
40,2807109,9,1755781788,DESERT_TEMPLE,TREASURE,cc432b2626a44ae1836a50244adbf468,ac601ce7376f49cea7ce14cd577dac85,Watermelon1708,BlazeMind,627.376,1626,1682,False,ac601ce7376f49cea7ce14cd577dac85
41,2807173,9,1755782319,VILLAGE,STABLES,734a1c6118754829acc234135470152c,635f35ee69ed4f0c94ff26ece4818956,yeopgihoney,edcr,671.789,1486,1627,False,635f35ee69ed4f0c94ff26ece4818956
42,2807179,9,1755782357,RUINED_PORTAL,TREASURE,cc432b2626a44ae1836a50244adbf468,a5d83ff042164ff1b862dedc118c1dae,Watermelon1708,steez,500.165,1571,1645,False,cc432b2626a44ae1836a50244adbf468
43,2807257,9,1755782942,SHIPWRECK,TREASURE,635f35ee69ed4f0c94ff26ece4818956,a5d83ff042164ff1b862dedc118c1dae,edcr,steez,539.357,1637,1621,False,635f35ee69ed4f0c94ff26ece4818956
44,2807387,9,1755783895,SHIPWRECK,TREASURE,a5d83ff042164ff1b862dedc118c1dae,c9c05e7e18814e4fa6bbcf0bd0119df7,steez,Simply_Useless,841.793,1608,1475,False,c9c05e7e18814e4fa6bbcf0bd0119df7
45,2807406,9,1755783988,DESERT_TEMPLE,STABLES,542eca51763f42ed925b8a68122a99fd,ac601ce7376f49cea7ce14cd577dac85,m3rcuryOvO,BlazeMind,657.732,1666,1709,False,ac601ce7376f49cea7ce14cd577dac85
46,2807460,9,1755784313,BURIED_TREASURE,HOUSING,cc432b2626a44ae1836a50244adbf468,635f35ee69ed4f0c94ff26ece4818956,Watermelon1708,edcr,645.198,1590,1712,False,cc432b2626a44ae1836a50244adbf468
47,2807494,9,1755784590,DESERT_TEMPLE,BRIDGE,0b863352af474dd389ec64e9eb1a38c0,a5d83ff042164ff1b862dedc118c1dae,90Tom,steez,643.995,1561,1543,False,a5d83ff042164ff1b862dedc118c1dae
48,2807536,9,1755784848,SHIPWRECK,HOUSING,92b63a39b36a445fa94c77ae212dcea3,0b6c44a481e14c7e88ac836c92499ff4,bing_pigs,Khepryyy,765.535,1539,1561,False,92b63a39b36a445fa94c77ae212dcea3
49,2807592,9,1755785213,SHIPWRECK,BRIDGE,bd276bdda370440a8754989c7faab51a,635f35ee69ed4f0c94ff26ece4818956,CookieAddicts,edcr,573.64,1536,1651,False,635f35ee69ed4f0c94ff26ece4818956
50,2807648,9,1755785590,VILLAGE,HOUSING,92b63a39b36a445fa94c77ae212dcea3,ac601ce7376f49cea7ce14cd577dac85,bing_pigs,BlazeMind,530.122,1551,1781,False,92b63a39b36a445fa94c77ae212dcea3
51,2807659,9,1755785675,VILLAGE,BRIDGE,0b6c44a481e14c7e88ac836c92499ff4,a5d83ff042164ff1b862dedc118c1dae,Khepryyy,steez,773.397,1501,1603,False,0b6c44a481e14c7e88ac836c92499ff4
52,2807690,9,1755785836,RUINED_PORTAL,BRIDGE,635f35ee69ed4f0c94ff26ece4818956,542eca51763f42ed925b8a68122a99fd,edcr,m3rcuryOvO,553.582,1663,1648,False,635f35ee69ed4f0c94ff26ece4818956
53,2807727,9,1755786155,SHIPWRECK,TREASURE,ac601ce7376f49cea7ce14cd577dac85,dd34e44dfe5d4e05923d876b9c34ca5f,BlazeMind,autoqualler,455.258,1717,1505,False,ac601ce7376f49cea7ce14cd577dac85
54,2807778,9,1755786477,DESERT_TEMPLE,BRIDGE,a5d83ff042164ff1b862dedc118c1dae,bd276bdda370440a8754989c7faab51a,steez,CookieAddicts,717.793,1580,1502,False,bd276bdda370440a8754989c7faab51a
55,2807788,9,1755786556,DESERT_TEMPLE,BRIDGE,635f35ee69ed4f0c94ff26ece4818956,939ddf85303441de901d60bfa4109318,edcr,thecamo6,582.665,1686,1502,False,635f35ee69ed4f0c94ff26ece4818956
56,2807844,9,1755786883,RUINED_PORTAL,HOUSING,92b63a39b36a445fa94c77ae212dcea3,ac601ce7376f49cea7ce14cd577dac85,bing_pigs,BlazeMind,564.386,1598,1765,False,92b63a39b36a445fa94c77ae212dcea3
57,2807880,9,1755787122,DESERT_TEMPLE,TREASURE,635f35ee69ed4f0c94ff26ece4818956,734a1c6118754829acc234135470152c,edcr,yeopgihoney,484.395,1699,1533,False,635f35ee69ed4f0c94ff26ece4818956
58,2807969,9,1755787627,SHIPWRECK,HOUSING,cc432b2626a44ae1836a50244adbf468,92b63a39b36a445fa94c77ae212dcea3,Watermelon1708,bing_pigs,695.047,1664,1626,False,92b63a39b36a445fa94c77ae212dcea3
59,2807988,9,1755787770,BURIED_TREASURE,STABLES,ac601ce7376f49cea7ce14cd577dac85,25349f93cf194f3baeee93d024eccc21,BlazeMind,retropog,721.614,1743,1509,False,25349f93cf194f3baeee93d024eccc21
60,2807989,9,1755787772,RUINED_PORTAL,BRIDGE,635f35ee69ed4f0c94ff26ece4818956,562a308be86c4ec09438387860e792cc,edcr,Oxidiot,569.652,1713,1499,False,635f35ee69ed4f0c94ff26ece4818956
61,2808078,9,1755788357,RUINED_PORTAL,TREASURE,635f35ee69ed4f0c94ff26ece4818956,92b63a39b36a445fa94c77ae212dcea3,edcr,bing_pigs,539.416,1760,1643,False,92b63a39b36a445fa94c77ae212dcea3
62,2808108,9,1755788528,VILLAGE,HOUSING,ac601ce7376f49cea7ce14cd577dac85,562a308be86c4ec09438387860e792cc,BlazeMind,Oxidiot,654.804,1678,1488,False,ac601ce7376f49cea7ce14cd577dac85
63,2808130,9,1755788703,VILLAGE,HOUSING,92b63a39b36a445fa94c77ae212dcea3,0b6c44a481e14c7e88ac836c92499ff4,bing_pigs,Khepryyy,290.098,1672,1620,True,92b63a39b36a445fa94c77ae212dcea3
64,2808227,9,1755789310,SHIPWRECK,BRIDGE,d30aa493035d4b168c8a4a1c20c766c8,635f35ee69ed4f0c94ff26ece4818956,CxrtxR,edcr,680.995,1520,1701,False,635f35ee69ed4f0c94ff26ece4818956
