match_id,date,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,elo_diff,h2h_win_rate_A,map_wr_diff,streak_diff,consistency_diff,form_diff,nether_pace_diff,bastion_pace_diff,fortress_pace_diff,stronghold_pace_diff,end_enter_diff,end_fight_diff,bastion_first_diff,conversion_diff,overworld_type,bastion_type,target
3123894,1758840733,939ddf85303441de901d60bfa4109318,9a8e24df4c8549d696a6951da84fa5c4,thecamo6,Feinberg,-322,0.5,-0.2075187969924812,-5,5.812691824083402,-0.19999999999999996,1.875,15.376499999999993,-23.5163,12.990400000000001,61.72039999999993,-3.2604999999999933,0.09999999999999998,-0.017262265293761403,BURIED_TREASURE,TREASURE,0
3124042,1758841814,9a8e24df4c8549d696a6951da84fa5c4,388533d5a2ad4b349a31db4738670a4b,Feinberg,v_strid,300,0.8571428571428571,0.015873015873015872,6,-31.7187999518113,0.19999999999999996,-2.0529999999999973,-13.628000000000014,25.401999999999973,2.3331999999999944,-31.100000000000023,65.5749,-0.09999999999999998,0.158140148682532,VILLAGE,STABLES,0
3124077,1758842094,2fe70934e7be458dba747c4ac830391c,2ef2bfed3d084649b56290328970ace9,steezFemboy,nahhann,-16,0.6666666666666666,-0.06006493506493504,-2,-79.55869095390686,0.19999999999999996,15.494699999999995,-10.910300000000007,7.260600000000011,-14.26740000000001,2.2924000000000433,-55.72709999999999,0.0,0.09396519635213108,RUINED_PORTAL,HOUSING,1
3124123,1758842408,485afd8d37a949c390ccdb9f1f1ff3c6,9a8e24df4c8549d696a6951da84fa5c4,Lesternnn,Feinberg,-363,0.3333333333333333,-0.6388888888888888,0,8.62520643471887,-0.39999999999999997,4.509600000000006,27.248999999999995,-11.347099999999983,-4.079999999999995,64.61620000000005,-47.039033333333336,0.0,-0.2559055118110236,BURIED_TREASURE,TREASURE,0
3124216,1758843262,2fe70934e7be458dba747c4ac830391c,9a8e24df4c8549d696a6951da84fa5c4,steezFemboy,Feinberg,-155,0.2,0.0034482758620689724,1,-14.839999475513267,-0.09999999999999998,18.99080000000002,12.591300000000018,-9.367900000000049,4.923699999999993,83.37570000000011,-44.910000000000025,0.09999999999999998,0.025597638248847976,DESERT_TEMPLE,TREASURE,0
3124226,1758843345,b5ae858c09384b79989ea305a4b5cedf,2ef2bfed3d084649b56290328970ace9,Ayreliaa,nahhann,-287,0.3333333333333333,-0.56,0,-24.51713380582612,-0.30000000000000004,24.81280000000001,2.6335000000000264,-11.799499999999995,-8.691999999999993,39.41229999999996,-7.791700000000006,0.0,-0.5850000000000001,SHIPWRECK,HOUSING,1
3124331,1758844258,2fe70934e7be458dba747c4ac830391c,b5ae858c09384b79989ea305a4b5cedf,steezFemboy,Ayreliaa,225,0.75,0.3205479452054794,-1,-34.72611529292257,0.3,-7.88839999999999,-23.83390000000003,14.107799999999997,-14.593800000000009,-28.45729999999992,-12.373900000000006,0.0,0.6015919564306662,SHIPWRECK,TREASURE,1
3124347,1758844399,9a8e24df4c8549d696a6951da84fa5c4,2ef2bfed3d084649b56290328970ace9,Feinberg,nahhann,343,0.75,0.07647058823529418,2,25.51307680317953,0.4,-0.2522999999999911,-22.897800000000018,20.55789999999999,-23.265,-73.32279999999997,-10.528599999999983,-0.09999999999999998,0.08403296019900497,RUINED_PORTAL,TREASURE,0
3124410,1758845001,2fe70934e7be458dba747c4ac830391c,9a8e24df4c8549d696a6951da84fa5c4,steezFemboy,Feinberg,-222,0.16666666666666666,0.1695402298850574,1,-22.579657168482797,-0.20000000000000007,30.817300000000003,9.215499999999935,-7.606699999999975,3.7417000000000087,90.43829999999997,-37.57830000000003,0.09999999999999998,0.018778669724770602,VILLAGE,HOUSING,1
3124431,1758845171,2ef2bfed3d084649b56290328970ace9,0562802e736e47c581b2ef095e2ed067,nahhann,subdas,236,0.3333333333333333,-0.5384615384615384,0,-2.5150816212420466,-0.09999999999999998,-15.472200000000015,3.3423999999999694,1.490700000000004,11.649900000000002,-6.640499999999861,70.745,0.0,-0.06683168316831678,BURIED_TREASURE,TREASURE,0
